Id,x_m,y_m,Lat,Lon
207,2074253.178,-4017617.877,-33.91666667,18.63333333
208,2076108.503,-4006444.659,-33.83333333,18.65
209,2077963.829,-3984130.843,-33.66666667,18.66666667
210,2077963.829,-3993051.166,-33.73333333,18.66666667
211,2079819.153,-4017617.877,-33.91666667,18.68333333
212,2079819.153,-4019853.83,-33.93333333,18.68333333
213,2079819.153,-4031040.172,-34.01666667,18.68333333
214,2081674.478,-4022090.222,-33.95,18.7
215,2087240.452,-4008678.43,-33.85,18.75
216,2094661.752,-3977445.136,-33.61666667,18.81666667
217,2096517.076,-4008678.43,-33.85,18.83333333
218,2096517.076,-4013147.28,-33.88333333,18.83333333
219,2098372.401,-4008678.43,-33.85,18.85
220,2098372.401,-4017617.877,-33.91666667,18.85
221,2098372.401,-4019853.83,-33.93333333,18.85
222,2100227.727,-3981901.842,-33.65,18.86666667
223,2100227.727,-4015382.36,-33.9,18.86666667
224,2100227.727,-4017617.877,-33.91666667,18.86666667
225,2100227.727,-4019853.83,-33.93333333,18.86666667
226,2102083.051,-4010912.638,-33.86666667,18.88333333
227,2102083.051,-4017617.877,-33.91666667,18.88333333
228,2102083.051,-4022090.222,-33.95,18.88333333
229,2107649.025,-4015382.36,-33.9,18.93333333
230,2107649.025,-4024327.052,-33.96666667,18.93333333
231,2109504.351,-3990820.437,-33.71666667,18.95
232,2109504.351,-3995282.33,-33.75,18.95
233,2109504.351,-4013147.28,-33.88333333,18.95
234,2109504.351,-4019853.83,-33.93333333,18.95
235,2109504.351,-4026564.319,-33.98333333,18.95
236,2111359.676,-3975217.429,-33.6,18.96666667
237,2111359.676,-3990820.437,-33.71666667,18.96666667
238,2111359.676,-3993051.166,-33.73333333,18.96666667
239,2111359.676,-3995282.33,-33.75,18.96666667
240,2111359.676,-4013147.28,-33.88333333,18.96666667
241,2111359.676,-4015382.36,-33.9,18.96666667
242,2111359.676,-4017617.877,-33.91666667,18.96666667
243,2111359.676,-4024327.052,-33.96666667,18.96666667
244,2113215,-4006444.659,-33.83333333,18.98333333
245,2115070.325,-3979673.273,-33.63333333,19
246,2115070.325,-4010912.638,-33.86666667,19
247,2116925.65,-3972990.153,-33.58333333,19.01666667
248,2116925.65,-3981901.842,-33.65,19.01666667
249,2116925.65,-3990820.437,-33.71666667,19.01666667
250,2116925.65,-4026564.319,-33.98333333,19.01666667
251,2120636.3,-3979673.273,-33.63333333,19.05
252,2118780.974,-3993051.166,-33.73333333,19.03333333
253,2122491.625,-3979673.273,-33.63333333,19.06666667
254,2120636.3,-3981901.842,-33.65,19.05
255,2122491.625,-3993051.166,-33.73333333,19.06666667
256,2122491.625,-4013147.28,-33.88333333,19.06666667
257,2122491.625,-4019853.83,-33.93333333,19.06666667
258,2124346.949,-4013147.28,-33.88333333,19.08333333
259,2124346.949,-4019853.83,-33.93333333,19.08333333
260,2126202.274,-4015382.36,-33.9,19.1
261,2128057.599,-4019853.83,-33.93333333,19.11666667
262,2128057.599,-3979673.273,-33.63333333,19.11666667
263,2128057.599,-3984130.843,-33.66666667,19.11666667
264,2128057.599,-4017617.877,-33.91666667,19.11666667
265,2126202.274,-4017617.877,-33.91666667,19.1
266,2129912.923,-4019853.83,-33.93333333,19.13333333
267,2129912.923,-3970763.308,-33.56666667,19.13333333
268,2131768.249,-3993051.166,-33.73333333,19.15
269,2133623.574,-3993051.166,-33.73333333,19.16666667
270,2135478.898,-4026564.319,-33.98333333,19.18333333
271,2141044.873,-3977445.136,-33.61666667,19.23333333
272,2141044.873,-3981901.842,-33.65,19.23333333
273,2142900.198,-4006444.659,-33.83333333,19.25
274,2142900.198,-3970763.308,-33.56666667,19.25
275,2144755.523,-3988590.139,-33.7,19.26666667
276,2144755.523,-4017617.877,-33.91666667,19.26666667
277,2146610.847,-4015382.36,-33.9,19.28333333
278,2150321.498,-3986360.274,-33.68333333,19.31666667
279,2148466.172,-4017617.877,-33.91666667,19.3
280,2148466.172,-4019853.83,-33.93333333,19.3
281,2148466.172,-4028802.026,-34,19.3
282,2154032.147,-3977445.136,-33.61666667,19.35
283,2155887.472,-3986360.274,-33.68333333,19.36666667
284,2155887.472,-4013147.28,-33.88333333,19.36666667
285,2159598.121,-4004211.324,-33.81666667,19.4
286,2165164.096,-3979673.273,-33.63333333,19.45
287,2163308.771,-3981901.842,-33.65,19.43333333
288,2163308.771,-4019853.83,-33.93333333,19.43333333
289,2165164.096,-3981901.842,-33.65,19.45
290,2165164.096,-3988590.139,-33.7,19.45
291,2165164.096,-4013147.28,-33.88333333,19.45
292,2167019.421,-3997513.927,-33.76666667,19.46666667
293,2168874.745,-3988590.139,-33.7,19.48333333
294,2174440.72,-3997513.927,-33.76666667,19.53333333
295,2176296.045,-3984130.843,-33.66666667,19.55
296,2176296.045,-3986360.274,-33.68333333,19.55
297,2180006.694,-4024327.052,-33.96666667,19.58333333
298,2183717.345,-3981901.842,-33.65,19.61666667
299,2183717.345,-4017617.877,-33.91666667,19.61666667
300,2185572.669,-4017617.877,-33.91666667,19.63333333
301,2231955.79,-4008678.43,-33.85,20.05
302,2233811.116,-4006444.659,-33.83333333,20.06666667
303,2237521.765,-4019853.83,-33.93333333,20.1
304,2241232.414,-3999745.958,-33.78333333,20.13333333
305,2241232.414,-4001978.424,-33.8,20.13333333
306,2243087.739,-4010912.638,-33.86666667,20.15
307,2248653.714,-4006444.659,-33.83333333,20.2
308,2250509.039,-4024327.052,-33.96666667,20.21666667
309,2246798.389,-3997513.927,-33.76666667,20.18333333
310,2259785.663,-4006444.659,-33.83333333,20.3
311,2270917.612,-4015382.36,-33.9,20.4
312,2274628.262,-3988590.139,-33.7,20.43333333
313,2280194.236,-4017617.877,-33.91666667,20.48333333
314,2293181.51,-3990820.437,-33.71666667,20.6
315,2295036.836,-4019853.83,-33.93333333,20.61666667
316,2300602.81,-4028802.026,-34,20.66666667
317,2308024.109,-4015382.36,-33.9,20.73333333
318,2309879.434,-4028802.026,-34,20.75
319,2311734.759,-3964085.347,-33.51666667,20.76666667
320,2315445.409,-3970763.308,-33.56666667,20.8
321,2319156.058,-4026564.319,-33.98333333,20.83333333
322,2322866.708,-3972990.153,-33.58333333,20.86666667
323,2332143.332,-3977445.136,-33.61666667,20.95
324,2332143.332,-4013147.28,-33.88333333,20.95
325,2335853.981,-3995282.33,-33.75,20.98333333
326,2337709.307,-3972990.153,-33.58333333,21
327,2346985.931,-4008678.43,-33.85,21.08333333
328,2356262.555,-3972990.153,-33.58333333,21.16666667
329,2352551.905,-4031040.172,-34.01666667,21.13333333
330,2354407.23,-3984130.843,-33.66666667,21.15
331,2369249.829,-4028802.026,-34,21.28333333
332,2389658.403,-3995282.33,-33.75,21.46666667
333,2413777.625,-3966310.904,-33.53333333,21.68333333
334,2413777.625,-3968536.891,-33.55,21.68333333
335,2424909.574,-4026564.319,-33.98333333,21.78333333
336,2449028.797,-3977445.136,-33.61666667,22
337,2454594.772,-4017617.877,-33.91666667,22.05
338,2454594.772,-4013147.28,-33.88333333,22.05
339,2458305.421,-3984130.843,-33.66666667,22.08333333
340,2456450.097,-4028802.026,-34,22.06666667
341,2462016.072,-4022090.222,-33.95,22.11666667
342,2469437.37,-3972990.153,-33.58333333,22.18333333
343,2471292.696,-3972990.153,-33.58333333,22.2
344,2471292.696,-3975217.429,-33.6,22.2
345,2473148.021,-3970763.308,-33.56666667,22.21666667
346,2475003.345,-3999745.958,-33.78333333,22.23333333
347,2475003.345,-4017617.877,-33.91666667,22.23333333
348,2476858.67,-3979673.273,-33.63333333,22.25
349,2482424.645,-4001978.424,-33.8,22.3
350,2480569.319,-4019853.83,-33.93333333,22.28333333
351,2487990.619,-4006444.659,-33.83333333,22.35
352,2489845.944,-4017617.877,-33.91666667,22.36666667
353,2491701.269,-4028802.026,-34,22.38333333
354,2493556.594,-4022090.222,-33.95,22.4
355,2495411.919,-3981901.842,-33.65,22.41666667
356,2495411.919,-3995282.33,-33.75,22.41666667
357,2495411.919,-4024327.052,-33.96666667,22.41666667
358,2495411.919,-4026564.319,-33.98333333,22.41666667
359,2499122.568,-4008678.43,-33.85,22.45
360,2497267.243,-4017617.877,-33.91666667,22.43333333
361,2502833.218,-3968536.891,-33.55,22.48333333
362,2500977.894,-4024327.052,-33.96666667,22.46666667
363,2499122.568,-4024327.052,-33.96666667,22.45
364,2502833.218,-3966310.904,-33.53333333,22.48333333
365,2502833.218,-4024327.052,-33.96666667,22.48333333
366,2504688.543,-4026564.319,-33.98333333,22.5
367,2508399.192,-4024327.052,-33.96666667,22.53333333
368,2512109.843,-4024327.052,-33.96666667,22.56666667
369,2515820.492,-4001978.424,-33.8,22.6
370,2519531.141,-3964085.347,-33.51666667,22.63333333
371,2521386.466,-4001978.424,-33.8,22.65
372,2521386.466,-4022090.222,-33.95,22.65
373,2523241.792,-4008678.43,-33.85,22.66666667
374,2525097.116,-4015382.36,-33.9,22.68333333
375,2523241.792,-4022090.222,-33.95,22.66666667
376,2530663.09,-3993051.166,-33.73333333,22.73333333
377,2530663.09,-4019853.83,-33.93333333,22.73333333
378,2530663.09,-4028802.026,-34,22.73333333
379,2538084.39,-4017617.877,-33.91666667,22.8
380,2539939.715,-3966310.904,-33.53333333,22.81666667
381,2539939.715,-3997513.927,-33.76666667,22.81666667
382,2541795.039,-4028802.026,-34,22.83333333
383,2543650.365,-4015382.36,-33.9,22.85
384,2547361.014,-4013147.28,-33.88333333,22.88333333
385,2547361.014,-4015382.36,-33.9,22.88333333
386,2549216.339,-3966310.904,-33.53333333,22.9
387,2556637.639,-4019853.83,-33.93333333,22.96666667
388,2556637.639,-3986360.274,-33.68333333,22.96666667
389,2560348.288,-4015382.36,-33.9,23
390,2569624.912,-3993051.166,-33.73333333,23.08333333
391,2565914.263,-4024327.052,-33.96666667,23.05
392,2569624.912,-4033278.757,-34.03333333,23.08333333
393,2573335.563,-3981901.842,-33.65,23.11666667
394,2575190.887,-3968536.891,-33.55,23.13333333
395,2575190.887,-3984130.843,-33.66666667,23.13333333
396,2577046.212,-3977445.136,-33.61666667,23.15
