Year,Lat,Lon,Sirex_Presence
2012,-27.21134,30.83233,No Sirex
2012,-27.276624,30.831912,No Sirex
2012,-27.294947,30.94509,No Sirex
2012,-27.32417,31.0251,No Sirex
2012,-27.32945,31.02225,No Sirex
2012,-27.369678,30.660222,No Sirex
2012,-27.380003,30.670067,No Sirex
2012,-27.62803,30.65854,No Sirex
2012,-27.643129,30.693947,No Sirex
2012,-27.706904,30.794666,No Sirex
2012,-27.939035,29.775867,No Sirex
2012,-27.9809,29.72146,No Sirex
2012,-28.626231,31.436615,No Sirex
2012,-29.243611,30.255,No Sirex
2012,-29.250556,30.313056,No Sirex
2012,-29.256667,30.391389,No Sirex
2012,-29.265278,30.269722,No Sirex
2012,-29.368333,30.105278,No Sirex
2012,-29.668056,29.705,No Sirex
2012,-29.751667,29.773889,No Sirex
2012,-29.7825,29.765833,No Sirex
2012,-29.866111,29.755556,No Sirex
2012,-29.866389,29.918333,No Sirex
2012,-30.129143,29.567767,No Sirex
2012,-30.162916,29.505412,No Sirex
2012,-30.310619,29.522137,No Sirex
2012,-30.406764,29.58459,No Sirex
2012,-30.462306,29.601975,No Sirex
2012,-30.460833,29.636667,No Sirex
2012,-30.516559,29.629823,No Sirex
2012,-30.558174,29.655396,No Sirex
2012,-30.582513,29.651913,No Sirex
2012,-30.583763,29.637399,No Sirex
2012,-30.62454,29.647824,No Sirex
2012,-30.625195,29.670591,No Sirex
2012,-30.640556,29.688056,No Sirex
2012,-30.658075,29.653795,No Sirex
2012,-30.669722,29.644444,No Sirex
2012,-30.765669,29.587385,No Sirex
2012,-30.801832,29.284393,No Sirex
2012,-31.154444,28.305278,No Sirex
2012,-31.398922,28.56894,No Sirex
2012,-31.399242,28.546632,No Sirex
2012,-31.086389,28.213056,No Sirex
2012,-31.403689,28.765894,No Sirex
2012,-31.437553,28.450257,No Sirex
2012,-31.445333,28.544045,No Sirex
2012,-31.452939,28.510364,No Sirex
2012,-31.470427,28.572526,No Sirex
2012,-31.491462,28.43196,No Sirex
2012,-31.499141,28.398207,No Sirex
2012,-31.508714,28.447122,No Sirex
2012,-31.517451,28.397081,No Sirex
2012,-31.544699,28.360577,No Sirex
2012,-31.5705,28.376546,No Sirex
2012,-31.58447,28.390443,No Sirex
2012,-32.592301,26.894166,No Sirex
2012,-33.69822,19.05153,No Sirex
2012,-33.94145,23.29854,No Sirex
2012,-33.9149,23.30623,No Sirex
2012,-33.82946,23.06776,No Sirex
2012,-33.83202,23.05286,No Sirex
2012,-33.87084,22.67953,No Sirex
2012,-33.87904,22.62926,No Sirex
2012,-33.87704,22.65771,No Sirex
2012,-33.88825,23.15693,No Sirex
2012,-33.88702,22.88521,No Sirex
2012,-33.88825,22.90317,No Sirex
2012,-33.88702,22.83408,No Sirex
2012,-33.8895,22.73283,No Sirex
2012,-33.88859,23.03788,No Sirex
2012,-33.89142,23.13455,No Sirex
2012,-33.90003,22.68327,No Sirex
2012,-33.89773,22.72081,No Sirex
2012,-33.90438,23.16336,No Sirex
2012,-33.90624,22.71796,No Sirex
2012,-33.90499,21.983584,No Sirex
2012,-33.90634,23.43027,No Sirex
2012,-33.919014,22.72858,No Sirex
2012,-33.91853,22.73378,No Sirex
2012,-33.92163,22.67957,No Sirex
2012,-33.92915,22.76792,No Sirex
2012,-33.966181,22.528421,No Sirex
2012,-33.980477,24.12062,No Sirex
2012,-33.97242,21.14185,No Sirex
2012,-33.98157,21.17153,No Sirex
2012,-33.98424,21.26472,No Sirex
2012,-33.99449,21.16864,No Sirex
2012,-33.99861,24.29065,No Sirex
2012,-33.99618,23.1216,No Sirex
2012,-34.00214,18.41911,No Sirex
2012,-34.00086,21.22715,No Sirex
2012,-34.00642,21.24679,No Sirex
2012,-34.00684,21.25218,No Sirex
2012,-34.00932,21.2404,No Sirex
2012,-34.00952,23.11231,No Sirex
2012,-34.01071,22.84302,No Sirex
2012,-34.01268,24.11502,No Sirex
2012,-34.01851,24.18422,No Sirex
2012,-34.03791,22.90427,No Sirex
2012,-34.046207,22.97904,No Sirex
2012,-34.05162,18.42442,No Sirex
2012,-34.05932,18.40988,No Sirex
2012,-34.06226,18.41694,No Sirex
2012,-34.06865,23.26372,No Sirex
2013,-22.88809,30.27898,No Sirex
2013,-22.91556,30.2831,No Sirex
2013,-22.923528,30.319639,No Sirex
2013,-22.99786,29.86712,No Sirex
2013,-23.008111,30.161528,No Sirex
