Id,x_m,y_m
321,2319156.058,-4026564.319
322,2322866.708,-3972990.153
323,2332143.332,-3977445.136
324,2332143.332,-4013147.28
325,2335853.981,-3995282.33
326,2337709.307,-3972990.153
327,2346985.931,-4008678.43
328,2356262.555,-3972990.153
329,2352551.905,-4031040.172
330,2354407.23,-3984130.843
331,2369249.829,-4028802.026
332,2389658.403,-3995282.33
333,2413777.625,-3966310.904
334,2413777.625,-3968536.891
335,2424909.574,-4026564.319
336,2449028.797,-3977445.136
337,2454594.772,-4017617.877
338,2454594.772,-4013147.28
339,2458305.421,-3984130.843
340,2456450.097,-4028802.026
341,2462016.072,-4022090.222
342,2469437.37,-3972990.153
343,2471292.696,-3972990.153
344,2471292.696,-3975217.429
345,2473148.021,-3970763.308
346,2475003.345,-3999745.958
347,2475003.345,-4017617.877
348,2476858.67,-3979673.273
349,2482424.645,-4001978.424
350,2480569.319,-4019853.83
351,2487990.619,-4006444.659
352,2489845.944,-4017617.877
353,2491701.269,-4028802.026
354,2493556.594,-4022090.222
355,2495411.919,-3981901.842
356,2495411.919,-3995282.33
357,2495411.919,-4024327.052
358,2495411.919,-4026564.319
359,2499122.568,-4008678.43
360,2497267.243,-4017617.877
361,2502833.218,-3968536.891
362,2500977.894,-4024327.052
363,2499122.568,-4024327.052
364,2502833.218,-3966310.904
365,2502833.218,-4024327.052
366,2504688.543,-4026564.319
367,2508399.192,-4024327.052
368,2512109.843,-4024327.052
369,2515820.492,-4001978.424
370,2519531.141,-3964085.347
371,2521386.466,-4001978.424
372,2521386.466,-4022090.222
373,2523241.792,-4008678.43
374,2525097.116,-4015382.36
375,2523241.792,-4022090.222
376,2530663.09,-3993051.166
377,2530663.09,-4019853.83
378,2530663.09,-4028802.026
379,2538084.39,-4017617.877
380,2539939.715,-3966310.904
381,2539939.715,-3997513.927
382,2541795.039,-4028802.026
383,2543650.365,-4015382.36
384,2547361.014,-4013147.28
385,2547361.014,-4015382.36
386,2549216.339,-3966310.904
387,2556637.639,-4019853.83
388,2556637.639,-3986360.274
389,2560348.288,-4015382.36
390,2569624.912,-3993051.166
391,2565914.263,-4024327.052
392,2569624.912,-4033278.757
393,2573335.563,-3981901.842
394,2575190.887,-3968536.891
395,2575190.887,-3984130.843
396,2577046.212,-3977445.136
397,2577046.212,-4017617.877
398,2578901.537,-3993051.166
399,2577046.212,-4022090.222
400,2580756.861,-3993051.166
401,2580756.861,-4004211.324
402,2580756.861,-4013147.28
403,2584467.512,-3977445.136
404,2584467.512,-4028802.026
405,2588178.161,-4017617.877
406,2591888.81,-3986360.274
407,2591888.81,-3993051.166
408,2597454.785,-3993051.166
409,2601165.435,-3995282.33
410,2606731.41,-3993051.166
411,2606731.41,-4019853.83
412,2614152.708,-3995282.33
413,2616008.034,-4028802.026
414,2617863.359,-4026564.319
415,2625284.658,-3999745.958
416,2627139.983,-3999745.958
417,2627139.983,-4001978.424
418,2628995.308,-3999745.958
419,2630850.632,-4022090.222
420,2640127.257,-3964085.347
421,2643837.906,-3970763.308
422,2643837.906,-4001978.424
423,2647548.556,-4024327.052
424,2654969.855,-4004211.324
425,2654969.855,-4010912.638
426,2656825.181,-4004211.324
427,2656825.181,-4006444.659
428,2658680.505,-4006444.659
429,2658680.505,-4024327.052
430,2664246.479,-4022090.222
431,2666101.804,-4028802.026
432,2667957.13,-3993051.166
433,2682799.728,-3972990.153
434,2684655.053,-4015382.36
435,2684655.053,-4026564.319
436,2690221.028,-3972990.153
437,2692076.352,-4017617.877
438,2697642.327,-4004211.324
439,2699497.652,-4006444.659
440,2703208.301,-4015382.36
441,2705063.626,-4022090.222
442,2706918.951,-4028802.026
443,2714340.25,-3984130.843
444,2725472.199,-4017617.877
445,2732893.499,-3970763.308
446,2740314.799,-3995282.33
447,2749591.423,-3993051.166
448,2749591.423,-4008678.43
449,2747736.097,-4013147.28
450,2762578.697,-3997513.927
451,2769999.996,-4004211.324
452,2766289.346,-3990820.437
453,2764434.021,-3999745.958
454,2764434.021,-4024327.052
455,2764434.021,-3990820.437
456,2769999.996,-4006444.659
457,2769999.996,-4008678.43
458,2775565.97,-4017617.877
459,2777421.295,-4017617.877
460,2779276.621,-3966310.904
461,2782987.27,-3997513.927
462,2784842.595,-3966310.904
463,2784842.595,-3984130.843
464,2784842.595,-3999745.958
465,2786697.919,-4010912.638
466,2788553.244,-3986360.274
467,2792263.894,-3964085.347
468,2792263.894,-4001978.424
469,2797829.868,-4008678.43
470,2803395.843,-4004211.324
471,2807106.493,-4008678.43
472,2808961.817,-3995282.33
473,2808961.817,-4017617.877
474,2807106.493,-3966310.904
475,2810817.143,-3988590.139
476,2810817.143,-4015382.36
477,2816383.117,-3990820.437
478,2818238.442,-3997513.927
479,2820093.766,-3986360.274
480,2820093.766,-3995282.33
481,2821949.092,-4017617.877
482,2823804.417,-4026564.319
483,2827515.066,-3995282.33
484,2827515.066,-3997513.927
485,2827515.066,-3999745.958
486,2829370.391,-4024327.052
487,2831225.715,-3988590.139
488,2831225.715,-3999745.958
489,2834936.366,-3981901.842
490,2836791.69,-4001978.424
491,2844212.99,-4028802.026
492,2846068.315,-4019853.83
493,2847923.639,-4017617.877
494,2847923.639,-4022090.222
495,2847923.639,-4026564.319
496,2849778.964,-4026564.319
497,2851634.29,-4026564.319
498,2853489.614,-4024327.052
499,2857200.264,-3964085.347
500,2859055.588,-4028802.026
501,2859055.588,-4013147.28
502,2860910.913,-3966310.904
503,2860910.913,-3970763.308
504,2860910.913,-3968536.891
505,2881319.486,-3972990.153
506,2881319.486,-3981901.842
507,2877608.837,-3990820.437
508,2894306.761,-3984130.843
509,2927702.608,-3975217.429
510,2925847.283,-4008678.43
511,2931413.257,-3970763.308
512,2935123.908,-3988590.139
513,2940689.882,-3979673.273
514,2940689.882,-3981901.842
