Year,Lat,Lon,Lepto_Y_N
2020,-29.82761111,30.24511944,No Leptocybe
2020,-29.89833447,29.77476805,No Leptocybe
2020,-29.84629263,29.70536163,No Leptocybe
2020,-29.82620736,29.69417531,No Leptocybe
2020,-29.82397778,30.19290833,No Leptocybe
2020,-29.96569112,30.07822098,No Leptocybe
2020,-25.81851068,30.90333541,No Leptocybe
2020,-25.75420164,30.79164652,No Leptocybe
2020,-23.767794,30.148822,No Leptocybe
2020,-23.761054,30.203301,No Leptocybe
2020,-30.69549002,29.83882006,No Leptocybe
2020,-30.70275222,29.84695069,No Leptocybe
2020,-25.58696111,30.41694912,No Leptocybe
2020,-25.563636,30.30479179,No Leptocybe
2020,-30.26720534,30.29352994,No Leptocybe
2020,-26.9791593,30.68473551,No Leptocybe
2020,-29.20587444,30.3821764,No Leptocybe
2020,-28.59345276,32.16359027,No Leptocybe
2020,-24.94532041,30.97946838,No Leptocybe
2020,-27.0167596,30.91981598,No Leptocybe
2020,-25.55022814,30.83257188,No Leptocybe
2020,-28.51311854,32.21670253,No Leptocybe
2020,-31.384115,28.60558,No Leptocybe
2020,-28.57439799,31.17333007,No Leptocybe
2020,-28.49238687,31.38587927,No Leptocybe
2020,-25.64625597,30.59498271,No Leptocybe
2020,-31.42333,28.762579,No Leptocybe
2020,-31.414767,28.731964,No Leptocybe
2020,-28.33547591,32.23894483,No Leptocybe
2020,-28.37006623,32.21182935,No Leptocybe
2020,-29.62863358,30.13506487,No Leptocybe
2020,-29.61985463,30.13203434,No Leptocybe
2020,-26.01404507,30.28752703,No Leptocybe
2020,-28.56074461,32.22798494,No Leptocybe
2020,-29.22145556,30.12838611,No Leptocybe
2020,-29.10412222,30.13177778,No Leptocybe
2020,-30.07344176,30.00587181,No Leptocybe
2020,-28.66280037,32.11464773,No Leptocybe
2020,-25.70935155,30.35101509,No Leptocybe
2020,-27.857984,31.119375,No Leptocybe
2020,-24.99783892,30.96575812,No Leptocybe
2020,-24.99721147,30.89006866,No Leptocybe
2020,-24.85484294,30.97111477,No Leptocybe
2020,-30.540273,29.705818,No Leptocybe
2020,-30.59595,29.668106,No Leptocybe
2020,-27.139154,30.7872672,No Leptocybe
2020,-26.35677411,30.62996125,No Leptocybe
2020,-26.39714619,30.70641135,No Leptocybe
2020,-26.172118,30.798173,No Leptocybe
2020,-26.169616,30.796606,No Leptocybe
2021,-31.46961644,28.47164656,No Leptocybe
2021,-31.46257284,28.47276493,No Leptocybe
2021,-31.39011758,28.60617147,No Leptocybe
2021,-29.76888889,30.22805556,No Leptocybe
2021,-29.79916667,30.31861111,No Leptocybe
2021,-29.3690649,30.35375125,No Leptocybe
2021,-29.32211179,30.44614729,No Leptocybe
2021,-29.28476867,30.18809417,No Leptocybe
2021,-28.98087501,30.67068927,No Leptocybe
2021,-29.821841,30.25337,No Leptocybe
2021,-29.81332778,30.21478333,No Leptocybe
2021,-29.008831,30.950475,No Leptocybe
2021,-29.850397,30.224626,No Leptocybe
2021,-29.20720809,30.55888051,No Leptocybe
2021,-29.22196502,30.37431127,No Leptocybe
2021,-29.23143932,30.38727406,No Leptocybe
2021,-29.40472222,30.10833333,No Leptocybe
2021,-29.41805556,30.1425,No Leptocybe
2021,-29.216895,30.681009,No Leptocybe
2021,-29.841422,30.28167,No Leptocybe
2021,-29.575018,30.272732,No Leptocybe
2021,-29.323,30.477,No Leptocybe
2021,-29.293308,30.470936,No Leptocybe
2021,-29.65123804,30.06377278,No Leptocybe
2021,-29.62736453,30.13940861,No Leptocybe
2021,-29.3093,30.609786,No Leptocybe
2021,-29.92819547,30.29778881,No Leptocybe
2021,-29.319596,30.485453,No Leptocybe
2021,-29.032971,30.953495,No Leptocybe
2021,-29.190118,30.415425,No Leptocybe
2021,-29.191902,30.419258,No Leptocybe
2021,-29.869514,30.392756,No Leptocybe
2021,-28.934,29.403,No Leptocybe
2021,-28.90321347,29.41515718,No Leptocybe
2021,-28.865,29.427,No Leptocybe
2021,-23.76623741,30.2072918,No Leptocybe
2021,-25.70621725,30.82431174,No Leptocybe
2021,-25.80375255,31.16724148,No Leptocybe
2021,-25.51871487,30.8624861,No Leptocybe
2021,-25.43853233,30.60674215,No Leptocybe
2021,-24.92098345,30.97242476,No Leptocybe
2021,-25.53691155,30.84393862,No Leptocybe
2021,-25.55711906,30.81443373,No Leptocybe
2021,-25.31582859,30.73143045,No Leptocybe
2021,-25.32960401,30.72055303,No Leptocybe
2021,-25.3811597,30.73825746,No Leptocybe
2021,-24.99572573,30.91309952,No Leptocybe
2021,-25.01743907,30.85185145,No Leptocybe
2021,-27.089894,31.034865,No Leptocybe
2021,-26.69328225,30.39944508,No Leptocybe
2021,-25.80041924,31.17508585,No Leptocybe
2021,-27.029471,30.93640811,No Leptocybe
2021,-27.11169666,30.76804745,No Leptocybe
2021,-25.83296275,30.48396157,No Leptocybe
2021,-25.826,30.465,No Leptocybe
2021,-26.58241,30.759187,No Leptocybe
2021,-27.04329159,30.83068563,No Leptocybe
2021,-26.50715786,30.69437448,No Leptocybe
2021,-26.43563035,30.64986757,No Leptocybe
2021,-26.08703679,30.2715362,No Leptocybe
2021,-26.04693117,30.29214217,No Leptocybe
2021,-26.902461,30.718594,No Leptocybe
2021,-25.74171546,30.66947526,No Leptocybe
2021,-27.15962189,30.88149136,No Leptocybe
2021,-27.029542,30.582242,No Leptocybe
2021,-27.18385113,30.71912089,No Leptocybe
2021,-27.090173,30.834536,No Leptocybe
2021,-26.83674667,30.43666438,No Leptocybe
2021,-27.274724,30.7702938,No Leptocybe
2021,-26.97541587,30.82419639,No Leptocybe
2021,-27.293905,30.9419383,No Leptocybe
2021,-26.18140628,30.76909223,No Leptocybe
2021,-26.18649019,30.77689309,No Leptocybe
2021,-27.8825,31.07777778,No Leptocybe
2021,-27.546533,30.816228,No Leptocybe
2021,-27.4784848,30.6570486,No Leptocybe
2021,-27.32508085,30.6243387,No Leptocybe
2021,-27.85611111,31.13055556,No Leptocybe
2021,-27.87972222,31.29944444,No Leptocybe
2021,-29.85848436,29.91833226,No Leptocybe
2021,-29.96225242,30.0775719,No Leptocybe
2021,-29.8820787,29.79047303,No Leptocybe
2021,-29.87457574,29.75993771,No Leptocybe
2021,-30.17087104,30.02285354,No Leptocybe
2021,-28.527003,32.246258,No Leptocybe
2021,-28.3081,32.32748,No Leptocybe
2021,-28.300398,32.301896,No Leptocybe
2021,-28.562719,32.132158,No Leptocybe
2021,-28.638494,32.140549,No Leptocybe
2021,-28.583884,32.199331,No Leptocybe
2021,-28.57085706,32.1616438,No Leptocybe
2021,-28.698866,32.083284,No Leptocybe
2021,-28.52908311,32.18733641,No Leptocybe
2021,-29.018277,31.698435,No Leptocybe
2021,-28.284851,32.32258,No Leptocybe
2021,-28.227455,32.353557,No Leptocybe
2021,-28.217126,32.398189,No Leptocybe
2021,-28.155087,32.398189,No Leptocybe
2021,-28.34011373,32.24730865,No Leptocybe
2021,-28.880461,31.881167,No Leptocybe
2021,-28.896937,31.856325,No Leptocybe
2021,-28.589467,32.082864,No Leptocybe
2021,-28.56618167,32.20743017,No Leptocybe
2021,-29.015435,31.664627,No Leptocybe
2021,-28.65981055,32.08178492,No Leptocybe
2021,-28.66743266,32.09805236,No Leptocybe
2021,-28.543,32.112,No Leptocybe
2017,-31.58705735,28.40161596,Leptocybe
2017,-23.90490945,30.10691722,Leptocybe
2017,-23.73514156,30.06289282,Leptocybe
2017,-23.73496021,30.12900605,Leptocybe
2017,-23.76546882,30.19955242,Leptocybe
2017,-30.53985787,29.72570636,Leptocybe
2017,-31.4015185,28.78020118,Leptocybe
2017,-23.80743436,30.07531095,Leptocybe
2017,-30.62657568,29.69023633,Leptocybe
2017,-30.49921038,29.73530358,Leptocybe
2017,-27.09226593,30.81187228,Leptocybe
2017,-27.04754997,30.59686636,Leptocybe
2017,-27.35195155,30.93345312,Leptocybe
2017,-26.85676983,30.78084817,Leptocybe
2017,-27.86268,31.009447,Leptocybe
2017,-26.66735688,30.48606326,Leptocybe
2017,-26.74639221,30.61736189,Leptocybe
2017,-27.86241,31.05099,Leptocybe
2017,-26.89262718,30.83983174,Leptocybe
2017,-27.78964,31.24806,Leptocybe
2017,-27.555,30.508,Leptocybe
2017,-26.94169188,30.60235874,Leptocybe
2016,-29.31895482,30.21087552,Leptocybe
2016,-29.30010721,30.15109939,Leptocybe
2016,-28.61715783,32.17558104,Leptocybe
2016,-28.63190695,32.03695645,Leptocybe
2016,-28.68764563,32.09399321,Leptocybe
2017,-27.9092,30.60267,Leptocybe
2017,-27.552,30.73817,Leptocybe
2017,-27.1378,30.98783,Leptocybe
2017,-27.267,31.01917,Leptocybe
2017,-27.9852,30.8765,Leptocybe
2018,-30.01347046,29.77415312,Leptocybe
2018,-23.71117222,30.159825,Leptocybe
2018,-27.35786904,30.74542865,Leptocybe
2018,-24.97061344,30.89392067,Leptocybe
2018,-23.78898889,30.07715556,Leptocybe
2018,-23.70068611,30.15805278,Leptocybe
2018,-26.84846131,30.79743221,Leptocybe
2018,-29.00648153,30.69079066,Leptocybe
2018,-27.47154315,30.74509406,Leptocybe
2018,-27.20312706,30.83592814,Leptocybe
2018,-29.32107087,30.57865091,Leptocybe
2018,-27.03615368,30.86640591,Leptocybe
2018,-25.6671292,30.84635989,Leptocybe
2018,-23.71388889,30.08706667,Leptocybe
2018,-27.13291944,30.99239444,Leptocybe
2018,-25.11597049,30.9205357,Leptocybe
2018,-23.75245,30.18218333,Leptocybe
2018,-27.26809722,31.03011944,Leptocybe
2018,-23.79425278,30.04756667,Leptocybe
2018,-31.540798,28.4418111,Leptocybe
2018,-31.489904,28.437123,Leptocybe
2018,-31.54079,28.4418111,Leptocybe
2018,-31.479048,28.517086,Leptocybe
2018,-23.77746667,30.10508611,Leptocybe
2018,-31.41875,28.586701,Leptocybe
2018,-31.481824,28.5154965,Leptocybe
2018,-29.96407615,29.91573591,Leptocybe
2018,-25.64360541,30.5989892,Leptocybe
2018,-31.402525,28.603299,Leptocybe
2018,-25.01807495,31.07098227,Leptocybe
2018,-27.08959722,30.75444167,Leptocybe
2018,-23.72480556,30.09900556,Leptocybe
2018,-30.35266371,30.20796216,Leptocybe
2019,-27.10549594,31.03650053,Leptocybe
2019,-26.97667678,30.73034196,Leptocybe
2019,-27.09382903,30.80549761,Leptocybe
2019,-31.581773,28.392352,Leptocybe
2019,-31.54295,28.45165,Leptocybe
2019,-29.20588048,30.70132446,Leptocybe
2019,-23.72,30.11666667,Leptocybe
2019,-23.70666667,30.12416667,Leptocybe
2019,-23.67638889,30.1225,Leptocybe
2019,-29.40484251,30.38505551,Leptocybe
2019,-29.36488329,30.38010798,Leptocybe
2019,-29.35181729,30.32593603,Leptocybe
2019,-27.28583964,30.78145648,Leptocybe
2019,-29.89621952,29.94013079,Leptocybe
2019,-26.86907436,30.77762629,Leptocybe
2019,-29.93335423,29.88248938,Leptocybe
2019,-29.01423519,29.69931108,Leptocybe
2019,-29.06230087,29.62810513,Leptocybe
2019,-28.35261443,32.26957785,Leptocybe
2019,-29.868583,30.17621667,Leptocybe
2019,-29.81841667,30.21055,Leptocybe
2019,-27.87541667,31.79853646,Leptocybe
2019,-29.01744855,30.92247849,Leptocybe
2019,-26.65571083,30.50396705,Leptocybe
2019,-23.73472222,30.16222222,Leptocybe
2019,-23.70777778,30.15166667,Leptocybe
2019,-23.75138889,30.21194444,Leptocybe
2019,-23.71944444,30.21472222,Leptocybe
2019,-26.93388719,30.82136154,Leptocybe
2019,-29.83995426,30.15266994,Leptocybe
2019,-27.46569813,30.7541839,Leptocybe
2019,-27.47985631,30.76580073,Leptocybe
2019,-29.82933104,30.23417554,Leptocybe
2019,-25.7879768,31.1955045,Leptocybe
2019,-26.92099348,30.6394945,Leptocybe
2019,-26.96375029,30.66608411,Leptocybe
2019,-26.99857644,30.5823152,Leptocybe
2019,-29.22598159,30.44524876,Leptocybe
2019,-29.22512802,30.37334341,Leptocybe
2019,-26.86007463,30.85111185,Leptocybe
2019,-25.46867529,30.59890998,Leptocybe
2019,-30.62378814,29.967321,Leptocybe
2019,-29.39840556,30.11353889,Leptocybe
2019,-29.41996667,30.13664167,Leptocybe
2019,-29.0426227,30.81308602,Leptocybe
2019,-29.047,30.894,Leptocybe
2019,-27.33361568,30.72348563,Leptocybe
2019,-31.4818,28.422289,Leptocybe
2019,-31.472924,28.486182,Leptocybe
2019,-27.22111907,30.84953539,Leptocybe
2019,-28.62534878,31.48968909,Leptocybe
2019,-31.424291,28.524276,Leptocybe
2019,-31.405374,28.583283,Leptocybe
2019,-29.21751289,30.60812819,Leptocybe
2019,-29.5652215,30.28181125,Leptocybe
2019,-28.37318082,32.19485472,Leptocybe
2019,-27.46801307,30.68037853,Leptocybe
